Pos.,Team,Driver,Time (sec),Lap,Points
1,Red Bull,Perez,2.11,1,25
2,Red Bull,Perez,2.62,2,
3,Alpine,Ocon,2.65,1,18
4,Ferrari,Sainz,2.71,7,15
5,Williams,Sargeant,2.93,1,12
6,AlphaTauri,De Vries,2.94,45,10
7,Williams,Sargeant,2.98,2,
8,AlphaTauri,Tsunoda,2.99,54,8
9,Alfa Romeo,Zhou,3.37,1,6
10,Williams,Sargeant,3.63,36,
11,Alfa Romeo,Bottas,3.65,1,4
12,Mercedes,Russell,3.69,7,2
13,McLaren,Piastri,3.96,54,1
14,Alfa Romeo,Bottas,4.31,53,
15,Haas,Magnussen,5.48,7,
16,Alfa Romeo,Zhou,6.90,54,
